V,E,command,mean,stddev,median,user,system,min,max
100000,199997,../project < in.txt,0.02504384174181818,0.000256481441253712,0.02498112206,0.02404606,0.0011659989090909088,0.02479054056,0.02697321956
110000,219996,../project < in.txt,0.027715039779999992,0.00019868606617289553,0.027666197460000003,0.02641199,0.0014817616000000003,0.027476668960000002,0.028697242960000004
120000,239997,../project < in.txt,0.029938208659784946,0.0006679625450178716,0.029814079519999998,0.02838735397849462,0.00168619247311828,0.029609838520000004,0.03600963352
130000,259997,../project < in.txt,0.033647732735121956,0.00024260351735619443,0.03356908654,0.031940943902439026,0.001808509756097561,0.033346237040000004,0.03464483504
140000,279997,../project < in.txt,0.03540998594153846,0.00040646963787383244,0.03521525848,0.0338028805128205,0.001802174871794871,0.03496497998,0.03695908698
150000,299997,../project < in.txt,0.03854250027027026,0.0002250016694301874,0.038467785000000004,0.037391373513513515,0.0013738135135135134,0.0382739485,0.039257045500000004
160000,319997,../project < in.txt,0.0373649402394737,0.0002422178372663439,0.037284679200000004,0.035658867368421034,0.001804143684210526,0.0370580042,0.0384656352
170000,339997,../project < in.txt,0.04476030380666667,0.0005155670445264531,0.044615454140000003,0.04313647142857139,0.0017200984126984128,0.04437111514,0.04814603514
180000,359997,../project < in.txt,0.04682470318688525,0.0003303416804503137,0.0467270134,0.045129164918032795,0.0018384885245901644,0.0463957024,0.0481833694
190000,379997,../project < in.txt,0.05139298001428574,0.00044542926398988584,0.051319124300000005,0.04886731857142855,0.0025893285714285717,0.050744414300000006,0.0526627273
200000,399997,../project < in.txt,0.05440220668307693,0.00034530389003228044,0.05433491926,0.05230595538461536,0.002203556538461539,0.053894604260000006,0.055442289260000006
210000,419997,../project < in.txt,0.05526472565230768,0.00046059881073889024,0.05507998546,0.05253948076923076,0.0027940096153846157,0.054765701459999996,0.05650534746000001
220000,439997,../project < in.txt,0.054419194123773586,0.0003842249555158626,0.054330805520000004,0.05193091773584904,0.0025557773584905666,0.05386151252000001,0.055611140520000005
230000,459997,../project < in.txt,0.05705971192734693,0.0005280259702958785,0.05680539056,0.05479567224489797,0.002340788571428571,0.056439768560000006,0.05865487456
240000,479997,../project < in.txt,0.0654241900327273,0.0005116086144069388,0.06528680676000001,0.06262341454545453,0.0028554068181818183,0.06459372226000001,0.06681054626
250000,499997,../project < in.txt,0.06719138146285715,0.0004977055227115133,0.06708790882000001,0.06412014476190475,0.0030723166666666657,0.06654355232,0.06878013132000001
260000,519997,../project < in.txt,0.07234027301000001,0.0007273576233738455,0.07203908256,0.06986023999999999,0.002530893,0.07168203806,0.07565815806
270000,539997,../project < in.txt,0.07598159876736843,0.0007332818753149074,0.07567191982000002,0.07285212526315787,0.003132312631578947,0.07497580982,0.07827113682
280000,559997,../project < in.txt,0.07208327193499998,0.0006972720594139917,0.07203566486,0.06925050499999999,0.0028598915000000004,0.06984035136000001,0.07380653336000001
290000,579996,../project < in.txt,0.08125793708111112,0.0008412472277045097,0.08147057622000001,0.07860706777777776,0.0027791277777777777,0.07970783522,0.08305182022
300000,599997,../project < in.txt,0.08653219009272727,0.0005507624239558901,0.08636104182000001,0.08327250181818181,0.0033025127272727274,0.08597072182000001,0.08804484782000001
310000,619997,../project < in.txt,0.09021421187625002,0.0008212682994355437,0.09025634022000001,0.08682474999999998,0.0033516649999999998,0.08877272072,0.09214220872000001
320000,639997,../project < in.txt,0.08030888912333332,0.002570622614371082,0.07993992454,0.07752329777777776,0.0028239566666666666,0.07834005004,0.09422646104
330000,659997,../project < in.txt,0.09587899572000001,0.0009768177410367897,0.09579912892,0.09262765333333331,0.0032327979999999994,0.09429862442,0.09919875242000001
340000,679997,../project < in.txt,0.10271144462000001,0.0009476853984302829,0.10279376462,0.09877624285714286,0.003869965714285714,0.10028585412,0.10467515912000001
350000,699997,../project < in.txt,0.10399301875,0.0009277147916736701,0.1041145445,0.10082581714285711,0.0031611199999999995,0.1022132835,0.1053478395
360000,719997,../project < in.txt,0.10814663492370372,0.0013000183695815405,0.10788316122000001,0.10400156222222223,0.004148917037037036,0.10687585122000001,0.11198677422000002
370000,739997,../project < in.txt,0.10252607851142857,0.0008365427881975477,0.10228179444000002,0.09953384428571428,0.002994312142857142,0.10154320744,0.10540113444
380000,759997,../project < in.txt,0.10715191578666668,0.0005999289453476979,0.10699878612000001,0.10425412740740742,0.0029194777777777773,0.10629868812000001,0.10884440812000001
390000,779997,../project < in.txt,0.119173399295,0.0007863677240615927,0.11890629492000002,0.1149490683333333,0.0041430608333333325,0.11856454392,0.12208939092
400000,799996,../project < in.txt,0.1142825546,0.0005703799782295048,0.11411753304,0.10999205999999999,0.004263584,0.11367015204,0.11553618004
410000,819996,../project < in.txt,0.12524185930260873,0.0005919345415412297,0.12500496151999999,0.12175708869565216,0.0034469695652173914,0.12470624352,0.12636986152
420000,839997,../project < in.txt,0.12867345889454548,0.00047328473731525673,0.12860270144000002,0.12472267090909091,0.003946490909090909,0.12815407294,0.13016367894000003
430000,859997,../project < in.txt,0.1350299035436364,0.003219964882205904,0.13410451268,0.13155157272727272,0.003476609090909091,0.13332821618,0.14908006918
440000,879997,../project < in.txt,0.1366448255552381,0.0011669933001155941,0.13630621246,0.1325787085714286,0.004015634285714286,0.13545296346000002,0.14012226946
450000,899997,../project < in.txt,0.13248492395999997,0.0007760312077780917,0.13225671445999998,0.1284732109090909,0.003942763636363636,0.13141611596,0.13433263396
460000,919997,../project < in.txt,0.14544757751,0.0004143732414803003,0.14543603096000002,0.14134105000000002,0.004105855,0.14488579196,0.14657609896
470000,939997,../project < in.txt,0.139634113072381,0.0011179659749396857,0.13926322012,0.13457813238095237,0.004983900952380953,0.13874567912,0.14285937712
480000,959997,../project < in.txt,0.15320632304315787,0.001086672864235332,0.15265692878,0.14820995789473684,0.004913614736842105,0.15229618978,0.15537901478
490000,979997,../project < in.txt,0.15718974891777782,0.0007847470359362208,0.15693714064000003,0.15216171111111107,0.004906831111111111,0.15623848264,0.15903719464000002
500000,999997,../project < in.txt,0.16098128188,0.0008840603892018859,0.16069256737999998,0.1561308133333333,0.004781064444444445,0.16025049338,0.16391255138
510000,1019997,../project < in.txt,0.15390943864421056,0.0019189854530892675,0.15307231496,0.14871986210526314,0.005069658947368421,0.15274045096000002,0.16090654096
520000,1039997,../project < in.txt,0.16602250294823528,0.0008956241630326895,0.16571970136,0.16137228941176474,0.004529315294117646,0.16504147336,0.16783037736
530000,1059997,../project < in.txt,0.1718128415847059,0.0005307547090412296,0.17168818882,0.1651797258823529,0.006508098823529412,0.17086111982000002,0.17272062182
540000,1079997,../project < in.txt,0.17561395063250002,0.0006165796275189134,0.17538057982000002,0.17109222999999996,0.0044826325,0.17498050982000002,0.17709138682000003
550000,1099997,../project < in.txt,0.18018271773,0.0008098779300019261,0.17978477148,0.17501517,0.00510092875,0.17906239348,0.18176341848000002
