V,command,mean,stddev,median,user,system,min,max
100000,../project < in.txt,0.02499382586181818,0.00016916056138452905,0.02495641878,0.023646909090909093,0.0015283327272727272,0.02476428278,0.02583576478
110000,../project < in.txt,0.025982671489811322,0.0003384588732894884,0.025872855320000002,0.024580619999999997,0.001568981509433963,0.02567102832,0.02765707232
120000,../project < in.txt,0.028501004414583326,0.00022870923564894286,0.0284223203,0.027223133333333344,0.001425292708333333,0.028206633800000002,0.029636414800000004
130000,../project < in.txt,0.033655186391904755,0.00024814123347839754,0.03357859288,0.03192515428571428,0.0018401514285714285,0.03335313538,0.034628722380000004
140000,../project < in.txt,0.03650597787376623,0.00027524693196779063,0.03641891464,0.03504211558441559,0.0015354711688311683,0.03607907364,0.037237830640000004
150000,../project < in.txt,0.03674426479578947,0.0003453698936237189,0.03659689748,0.0352090142105263,0.0016426910526315792,0.03638040748,0.03790451848
160000,../project < in.txt,0.038076454676216225,0.0002795122011893449,0.03800134846000001,0.03612176594594595,0.002035541621621621,0.03775171496,0.03908002296
170000,../project < in.txt,0.04404412113500002,0.00030565790799543034,0.043919873260000006,0.0419395875,0.0021828031249999996,0.04372876576,0.044857521760000005
180000,../project < in.txt,0.044601190113749994,0.000306473740506256,0.044534003020000004,0.042582633124999984,0.002113701875,0.04423101302,0.04614995602
190000,../project < in.txt,0.04662770571409838,0.0003363740704254046,0.04656276696,0.04514450819672131,0.0017023383606557373,0.046154224960000004,0.047964130960000004
200000,../project < in.txt,0.049749725457543865,0.0003637152800451736,0.04966364544,0.047912992982456125,0.001970740350877193,0.04935474544,0.05097026944
210000,../project < in.txt,0.05744353236,0.0003775594255792761,0.057372755319999996,0.05540467999999999,0.0021052612,0.05683202132,0.05852389232
220000,../project < in.txt,0.05968379232249999,0.0005456014826981906,0.05957043626,0.057332328333333314,0.0024449316666666668,0.058867183760000004,0.061670495760000006
230000,../project < in.txt,0.06250692160761903,0.001049355746789759,0.06226271756,0.060412972380952376,0.002162571428571428,0.061869539060000006,0.06873005206
240000,../project < in.txt,0.06451155603909092,0.0006676943594749378,0.06432370888,0.06267040272727273,0.0019544231818181814,0.06378145588,0.06659900688
250000,../project < in.txt,0.06866535936571427,0.0005746697690789847,0.06839730708,0.06615968095238096,0.0025884880952380942,0.06788429158,0.07008109658
260000,../project < in.txt,0.07192106376000001,0.0005593771107370709,0.07170729086000001,0.06931829999999997,0.002697746,0.07128852236,0.07336929936
270000,../project < in.txt,0.07641624218736844,0.0006557736614959726,0.07644315924,0.07371149157894738,0.0027609799999999997,0.07540681824,0.07811401224
280000,../project < in.txt,0.07940061383666666,0.0008983815926164241,0.07914119742,0.07567061999999998,0.0037215944444444443,0.07807080942,0.08230410942000001
290000,../project < in.txt,0.08011145217444444,0.0007242803510275307,0.07997066498000002,0.07746184333333334,0.0027012911111111114,0.07924905548000001,0.08306837148000001
300000,../project < in.txt,0.0861289354494118,0.0005429102832048811,0.08596855442000001,0.08177866470588235,0.004292829411764706,0.08552101742000001,0.08759311242000001
310000,../project < in.txt,0.08086306444444444,0.0007418381070115522,0.08064741550000001,0.07801495555555556,0.002924297222222222,0.079584657,0.08317743300000001
320000,../project < in.txt,0.0923648253380645,0.0007538935202100698,0.09218718508000001,0.09010850387096775,0.0023209754838709675,0.09151822808000001,0.09487971108000001
330000,../project < in.txt,0.09630237667999998,0.0008667262322428017,0.09600900448000001,0.09207629999999999,0.004205174666666667,0.09543268198,0.09879384698
340000,../project < in.txt,0.10101231916620691,0.0005821570013666851,0.10085398458,0.09645294482758619,0.004508327586206896,0.10031988958,0.10271482558
350000,../project < in.txt,0.10470837644142858,0.0008873777400890562,0.10442635312000001,0.10087570571428571,0.0038247285714285715,0.10385649312,0.10794938712
360000,../project < in.txt,0.1070388083214815,0.0008822048856098424,0.10665289684000001,0.10295299925925924,0.004087997777777778,0.10624075784,0.10948130484000002
370000,../project < in.txt,0.10243806379142857,0.0006276356289015936,0.10216453472,0.09811989714285714,0.004268425714285714,0.10154716022,0.10391583522
380000,../project < in.txt,0.11549384872000003,0.0006944315405155553,0.11526486056,0.11150508000000003,0.003970024,0.11474409056000001,0.11786152656000001
390000,../project < in.txt,0.10278423460714288,0.0007014583345099743,0.10245295400000001,0.09984034571428572,0.002955081428571429,0.10208030600000001,0.10441257300000001
400000,../project < in.txt,0.1214412472469565,0.001059752861785021,0.12107260216,0.11671810956521739,0.004686098260869565,0.12071923116,0.12563167816
410000,../project < in.txt,0.11653267882000001,0.0006910980026447956,0.11619760954000001,0.11265418000000003,0.0038319352,0.11591107754,0.11840852754
420000,../project < in.txt,0.1287932278927273,0.0007659352964318892,0.12850151962,0.12393367090909092,0.004833466363636363,0.12811650462000002,0.13099573162
430000,../project < in.txt,0.12565129680869563,0.0011664183162208657,0.1250471582,0.12200875217391305,0.003577147826086956,0.12447506720000001,0.1286171292
440000,../project < in.txt,0.1391083210704762,0.00425715886532908,0.13799677288,0.1336776714285714,0.005361992380952381,0.13771689288,0.15758379388000002
450000,../project < in.txt,0.13246724748,0.0008090996700148801,0.13215688998000003,0.12829871818181815,0.004131725454545454,0.13147538848,0.13415250348000002
460000,../project < in.txt,0.14372428121000003,0.0008180178698162209,0.14344974436000002,0.13889240999999997,0.004806426,0.14280584486,0.14570192686000003
470000,../project < in.txt,0.14733150258000002,0.00038888213257145827,0.14721319888,0.14176950000000005,0.005484939999999999,0.14691680738000001,0.14862247938
480000,../project < in.txt,0.1512614513,0.0007611354142652765,0.15097828030000002,0.14585538105263157,0.0053387094736842096,0.1505078343,0.1532534683
490000,../project < in.txt,0.15378424009473685,0.004717376035463549,0.1523788232,0.14826061263157894,0.005427469473684211,0.15181092520000003,0.17259048820000003
500000,../project < in.txt,0.16059043262666667,0.0004471435159418635,0.16043152445999997,0.1560052133333333,0.00451211111111111,0.16025258946,0.16201006246
510000,../project < in.txt,0.16431640189764707,0.000604387916731864,0.16406901278000002,0.1599311176470588,0.004328578823529412,0.16377492178000003,0.16569949978
520000,../project < in.txt,0.16816771702705885,0.0008124764916509833,0.16787311838,0.16264747882352942,0.005403870588235293,0.16740175038,0.16992342738
530000,../project < in.txt,0.17047995279529415,0.0012669548176090155,0.16997541056,0.1650057035294118,0.005363075294117647,0.16926183656000002,0.17443697456
540000,../project < in.txt,0.1758978075825,0.00044712476074029153,0.17601514652,0.16986537000000004,0.00592404375,0.17515910602,0.17696606502
550000,../project < in.txt,0.17972432035500002,0.0006381843478089862,0.17955254698,0.1730280225,0.0065507425,0.17890910348000003,0.18107104748000002
560000,../project < in.txt,0.1838488822625,0.0007078830983774024,0.18363819520000002,0.1797004325,0.0040535,0.18258616270000003,0.1849691837
570000,../project < in.txt,0.18526192815250006,0.0011504633540391032,0.18492726284000002,0.18030776250000002,0.0048648975,0.18416156984,0.18820013684000003
580000,../project < in.txt,0.1913644207,0.0007139277345142145,0.1912789875,0.18669081333333332,0.004569597333333334,0.1903773105,0.1932082245
590000,../project < in.txt,0.1948351364866667,0.0003780074660392441,0.19488009562,0.18805956000000001,0.006689386666666666,0.19426721362000002,0.19569776462000002
600000,../project < in.txt,0.19908342366285717,0.0012196100959066855,0.19866507102,0.19348594857142856,0.00546243142857143,0.19790489352,0.20234370652
610000,../project < in.txt,0.19977230532571433,0.0010495761458832332,0.19950428454000002,0.19439191428571426,0.0052726642857142845,0.19880555754000004,0.20317823454000003
620000,../project < in.txt,0.19272873901333337,0.0007690767118502599,0.19251216188,0.18624040666666664,0.006358682666666667,0.19198863688,0.19479619288
630000,../project < in.txt,0.19650019536666666,0.0011470612098846906,0.19610626790000002,0.19107237333333332,0.005329554666666666,0.1956296919,0.19987454690000003
640000,../project < in.txt,0.21406780201846148,0.001368674807430263,0.21338763848,0.2087999446153846,0.0051622769230769226,0.21293165048,0.21669041048
650000,../project < in.txt,0.20350273887714287,0.0007047908567108465,0.20325346902,0.1971335371428571,0.006244117142857142,0.20263710602,0.20508866702
660000,../project < in.txt,0.2068448207657143,0.0005502900384234017,0.20663555298000003,0.19952276857142856,0.007171174285714286,0.20632829298000002,0.20799023598000002
670000,../project < in.txt,0.21084782653428571,0.0009762226378916185,0.21042576632,0.20608914571428574,0.004662892857142858,0.20981495582,0.21293958182000003
680000,../project < in.txt,0.2115283858914286,0.0013468627242992177,0.21106884432,0.20386934285714284,0.0075163571428571415,0.21038559332,0.21484805032
690000,../project < in.txt,0.2180941663123077,0.0012518715545416607,0.21758022562,0.2105675430769231,0.00735220923076923,0.21689270662000001,0.22106120962
700000,../project < in.txt,0.23691496755000005,0.000830895775682011,0.23668718130000002,0.2291139733333333,0.0076679666666666655,0.2358578333,0.23832015230000003
710000,../project < in.txt,0.23670076740666668,0.0006062513803819814,0.23673343674,0.22883037999999997,0.007782316666666666,0.23584756124,0.23761053724
720000,../project < in.txt,0.24011081395333336,0.0004114937715986878,0.24009435612000002,0.23255429000000002,0.00737392,0.23940423512,0.24105652712
730000,../project < in.txt,0.24770274664000003,0.0013855520376140605,0.24715525814,0.23854632666666664,0.009013296666666665,0.24663675914000002,0.25068882514
740000,../project < in.txt,0.24859510201818183,0.0010391361277316705,0.24831520620000003,0.2394834363636364,0.008932087272727273,0.24733201920000003,0.25134365820000004
750000,../project < in.txt,0.25530544655454546,0.0007947864241874437,0.2549823411,0.24784460363636363,0.0073177090909090905,0.2545825491,0.2572591441
760000,../project < in.txt,0.25565558568545454,0.0009418522447496113,0.25522835314000003,0.24833435999999998,0.0071257636363636365,0.25493623214,0.25813470514000003
770000,../project < in.txt,0.2627658647109091,0.001172403915319419,0.26238094862000005,0.2558962727272727,0.006760534545454545,0.26198386962000003,0.26611338862000006
780000,../project < in.txt,0.2665731277690909,0.0008906292540136463,0.26622065386,0.2587770727272728,0.007598110909090908,0.26588929786,0.26884193686
790000,../project < in.txt,0.27111939902,0.001372161703306737,0.27066251192,0.26241198000000004,0.0085228,0.26986973592,0.27458378592
800000,../project < in.txt,0.27091702375090915,0.001378673712861192,0.27077727866000006,0.2633844472727273,0.0073410436363636365,0.26985492466000005,0.27478739466
810000,../project < in.txt,0.27821622392000006,0.0010844380654901837,0.27775664252000004,0.27229042,0.0057208599999999995,0.27720315502000004,0.27991068202
820000,../project < in.txt,0.28249761442000004,0.0010918932475863822,0.28199996802000005,0.27599988,0.00631568,0.28171253402,0.28479500902000005
830000,../project < in.txt,0.2820930655,0.0014580530325669075,0.28163006300000004,0.27129402,0.01061384,0.28098647550000005,0.28570146750000003
840000,../project < in.txt,0.2713054863,0.0007806786799798721,0.2710748015000001,0.26349685999999994,0.007646971999999999,0.27053344600000007,0.273259057
850000,../project < in.txt,0.2934245831,0.0011958134858369696,0.29298092880000004,0.28639339999999996,0.006870534,0.29239639780000004,0.2961268738
860000,../project < in.txt,0.27865469532,0.0012250053399129304,0.27826781741999995,0.27137922000000003,0.00708052,0.27771487342,0.28184887342
870000,../project < in.txt,0.30076927766,0.001317728910662946,0.30020973076,0.29253394,0.00806236,0.29961530726,0.30380790026000004
880000,../project < in.txt,0.30482026058,0.0011621615981159854,0.30439342238,0.2955244199999999,0.00909494,0.30395305038000003,0.30779144038
890000,../project < in.txt,0.30852114808000003,0.0016367054805709132,0.30808133158,0.30215788,0.0061635,0.30743126108,0.31299857008
900000,../project < in.txt,0.27305294574000005,0.00042081576036684105,0.27306283244,0.26681688000000003,0.006024039999999999,0.27236517944000005,0.27364896044000003
910000,../project < in.txt,0.31576597712000004,0.0005724097787652593,0.3156769662200001,0.30815446,0.007396270000000001,0.31507665122000006,0.31686189322
920000,../project < in.txt,0.32051342236,0.001917641125786446,0.31952193956,0.31067233999999994,0.00958906,0.31890232556000003,0.32410735256
930000,../project < in.txt,0.30478026402,0.0017535466890800334,0.30461983152000005,0.29515536,0.009417779999999999,0.30267136402,0.30913556902
940000,../project < in.txt,0.32369614822,0.0019669664519852497,0.32293602762000007,0.31454806,0.00891184,0.32208552112000005,0.32822443112000005
950000,../project < in.txt,0.33155006004,0.0007286510711277014,0.33139925704000006,0.32382007999999995,0.00751096,0.33038492604,0.33298485204
